,selling_price,km_driven,fuel,seller_type,transmission,owner,car_model,Age
834,285000,90000,Petrol,Individual,Manual,First Owner,Tata Zest,7
835,900000,80000,Diesel,Individual,Manual,First Owner,Hyundai Creta,7
837,620000,70000,Diesel,Individual,Manual,Second Owner,Hyundai Verna,10
839,650000,15000,Petrol,Individual,Manual,First Owner,Ford Figo,5
840,500000,35000,Petrol,Individual,Manual,First Owner,Maruti Ertiga,9
841,250000,120000,Diesel,Individual,Manual,Second Owner,Tata New,14
842,950000,15000,Diesel,Individual,Manual,Second Owner,others,5
843,320000,60000,Petrol,Individual,Manual,First Owner,Toyota Etios,8
844,450000,120000,Diesel,Individual,Manual,First Owner,Renault Duster,10
845,350000,90000,Diesel,Individual,Manual,First Owner,Mahindra KUV,7
846,400000,90000,Petrol,Individual,Manual,First Owner,Maruti Swift,8
848,250000,72000,Diesel,Individual,Manual,Second Owner,Hyundai i20,14
851,52000,50000,Petrol,Individual,Manual,Third Owner,Hyundai Santro,22
852,1200000,50000,Diesel,Individual,Automatic,First Owner,others,6
853,450000,60000,Petrol,Individual,Automatic,Third Owner,Hyundai Verna,12
854,615000,40000,Petrol,Individual,Manual,First Owner,Maruti Swift,5
855,400000,60000,Diesel,Individual,Manual,Second Owner,Maruti SX4,11
856,60000,40000,Petrol,Individual,Manual,First Owner,Tata Nano,10
857,500000,9161,Petrol,Individual,Manual,First Owner,others,6
858,600000,45000,Petrol,Individual,Manual,First Owner,Honda Mobilio,8
859,110000,110000,Petrol,Individual,Manual,First Owner,Hyundai Getz,13
860,175000,80000,Petrol,Individual,Manual,First Owner,Hyundai Santro,10
861,325000,100000,Diesel,Individual,Manual,Second Owner,Ford Fiesta,12
862,425000,90000,Diesel,Individual,Manual,First Owner,Maruti Swift,6
863,160000,70000,CNG,Individual,Manual,Third Owner,Hyundai Accent,14
864,100000,80000,Petrol,Individual,Manual,Third Owner,Maruti Zen,16
865,390000,110000,Diesel,Individual,Manual,Second Owner,Maruti Swift,9
866,400000,50000,Petrol,Individual,Manual,First Owner,Hyundai i20,6
867,509999,5000,Petrol,Individual,Manual,First Owner,others,5
868,150000,90000,Petrol,Individual,Manual,Third Owner,Hyundai i10,15
869,110000,120000,Petrol,Individual,Manual,First Owner,Hyundai Santro,14
870,450000,80000,Diesel,Individual,Manual,First Owner,Nissan Sunny,10
871,400000,38000,Petrol,Individual,Manual,Second Owner,Hyundai i20,6
872,140000,120000,Petrol,Individual,Manual,First Owner,Hyundai Santro,14
873,130000,90000,Diesel,Individual,Manual,First Owner,Tata Indigo,12
874,160000,50000,Petrol,Individual,Manual,First Owner,Maruti Alto,6
875,150000,60000,Petrol,Individual,Manual,First Owner,Maruti Alto,7
876,500000,100000,Diesel,Individual,Manual,Second Owner,Mahindra XUV500,10
877,40000,19000,Petrol,Individual,Manual,First Owner,Tata Nano,12
879,227000,70000,Diesel,Individual,Manual,Second Owner,Mahindra Verito,8
880,285000,50000,Diesel,Individual,Manual,Second Owner,Maruti Swift,12
881,155000,19077,Petrol,Individual,Manual,Second Owner,Maruti Alto,11
882,210000,30000,Petrol,Individual,Manual,First Owner,Hyundai EON,7
883,140000,80000,Petrol,Individual,Manual,Second Owner,Maruti Alto,14
884,940000,128000,Diesel,Individual,Manual,First Owner,Toyota Innova,8
885,750000,80000,Diesel,Individual,Manual,First Owner,Nissan Terrano,10
886,610000,100000,Diesel,Individual,Manual,First Owner,Maruti Baleno,7
887,450000,50000,Diesel,Individual,Manual,First Owner,Nissan Sunny,8
888,409999,56000,Diesel,Individual,Manual,First Owner,Toyota Etios,11
889,100000,21302,Petrol,Individual,Manual,First Owner,Hyundai EON,5
890,300000,10500,Petrol,Individual,Manual,First Owner,Renault KWID,5
891,400000,107000,Diesel,Individual,Manual,First Owner,Mahindra Bolero,10
892,210000,60000,Petrol,Individual,Manual,Second Owner,Hyundai i10,13
893,90000,120000,Petrol,Individual,Manual,Second Owner,Hyundai Santro,17
894,222000,70000,Petrol,Individual,Manual,First Owner,Maruti Wagon,13
895,240000,50000,Petrol,Individual,Manual,Second Owner,Maruti Alto,8
896,450000,70000,Diesel,Individual,Manual,Second Owner,Toyota Etios,10
935,735000,55300,Diesel,Dealer,Automatic,First Owner,Volkswagen Jetta,11
936,285000,74300,Diesel,Dealer,Manual,First Owner,Tata Indica,11
937,350000,48781,Petrol,Dealer,Manual,First Owner,Honda City,13
938,290000,87620,Diesel,Dealer,Automatic,First Owner,Volkswagen Jetta,13
939,890000,40219,Diesel,Dealer,Automatic,First Owner,Volkswagen Vento,6
940,385000,11473,Petrol,Dealer,Manual,First Owner,Honda Jazz,12
941,425000,8352,Petrol,Dealer,Manual,First Owner,Maruti Eeco,6
942,525000,9745,Petrol,Dealer,Automatic,First Owner,Maruti Wagon,6
943,550000,9748,Petrol,Dealer,Manual,First Owner,Hyundai Grand,6
944,271000,49000,Petrol,Dealer,Manual,First Owner,Volkswagen Polo,11
946,490000,31080,Petrol,Dealer,Manual,First Owner,Hyundai Grand,8
947,260000,37605,Petrol,Dealer,Manual,First Owner,Hyundai EON,9
948,455000,55850,Diesel,Dealer,Manual,First Owner,Hyundai Xcent,9
949,75000,58850,Petrol,Dealer,Manual,First Owner,Tata Nano,13
950,421000,23839,Petrol,Dealer,Manual,First Owner,Toyota Etios,8
951,550000,54000,Diesel,Dealer,Manual,First Owner,Maruti Swift,7
952,330000,38000,Petrol,Dealer,Automatic,First Owner,Hyundai i10,10
953,390000,45454,Diesel,Dealer,Manual,First Owner,Volkswagen Vento,11
954,599000,46957,Diesel,Dealer,Automatic,First Owner,Skoda Rapid,8
955,110000,60000,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai Getz,16
956,250000,25000,Petrol,Individual,Manual,First Owner,Renault KWID,7
957,600000,110000,Diesel,Individual,Manual,Fourth & Above Owner,Mahindra Scorpio,11
960,80000,90000,Petrol,Individual,Manual,First Owner,others,15
961,350000,5000,Petrol,Individual,Manual,First Owner,Maruti Alto,4
962,475000,60000,Diesel,Individual,Manual,First Owner,Maruti Swift,8
964,500000,50000,Diesel,Individual,Manual,First Owner,Maruti Swift,5
965,250000,120000,Diesel,Individual,Manual,First Owner,Chevrolet Sail,9
966,100000,120000,Diesel,Individual,Manual,Second Owner,Hyundai Accent,18
967,350000,5000,Petrol,Individual,Manual,First Owner,Maruti Alto,4
970,95000,120000,Petrol,Individual,Manual,Second Owner,Hyundai Santro,18
971,409999,58000,Diesel,Individual,Manual,First Owner,Hyundai Grand,8
972,1050000,35000,Diesel,Individual,Manual,First Owner,Mahindra XUV500,5
973,320000,30000,Petrol,Individual,Manual,First Owner,Maruti Alto,6
974,1000000,10000,Diesel,Individual,Manual,First Owner,others,4
976,950000,20000,Diesel,Individual,Manual,First Owner,Mahindra Thar,5
977,750000,50000,Diesel,Individual,Manual,First Owner,Maruti Swift,5
978,220000,42000,Petrol,Individual,Manual,First Owner,Hyundai EON,9
979,1000000,50000,Diesel,Individual,Manual,First Owner,others,6
980,660000,116000,Diesel,Individual,Manual,First Owner,Honda Mobilio,6
981,716000,100000,Diesel,Individual,Manual,First Owner,Maruti Ertiga,8
982,675000,66000,Petrol,Individual,Manual,First Owner,Maruti Ciaz,8
983,385000,110000,Diesel,Individual,Manual,Third Owner,Mahindra Scorpio,13
984,325000,70000,Diesel,Individual,Manual,First Owner,others,9
985,950000,60000,Diesel,Individual,Manual,First Owner,Hyundai Creta,8
986,400000,110000,Diesel,Individual,Automatic,Fourth & Above Owner,Ford Endeavour,16
987,250000,25000,Diesel,Individual,Manual,First Owner,Tata Indica,9
989,210000,20000,Petrol,Individual,Manual,First Owner,Maruti Alto,9
990,147000,110000,Petrol,Individual,Manual,Second Owner,Hyundai i10,12
991,725000,26350,Diesel,Individual,Manual,First Owner,Maruti Vitara,5
992,550000,90000,Diesel,Individual,Manual,First Owner,Mahindra Scorpio,11
993,475000,25000,Petrol,Individual,Manual,First Owner,Hyundai i20,7
994,250000,50000,Petrol,Individual,Manual,Second Owner,Hyundai Santro,9
995,70000,60000,Petrol,Individual,Manual,Second Owner,Tata Indica,17
996,160000,70000,Petrol,Individual,Manual,Third Owner,Hyundai EON,11
997,1000000,90000,Diesel,Individual,Automatic,Second Owner,Ford Endeavour,12
998,68000,70000,Petrol,Individual,Manual,First Owner,Hyundai Santro,22
999,500000,26500,Petrol,Individual,Manual,First Owner,Hyundai Grand,6
1002,1050000,10000,Diesel,Individual,Manual,First Owner,Hyundai Creta,3
1005,900000,50000,Diesel,Individual,Manual,First Owner,Hyundai Verna,6
1007,100000,52000,Petrol,Individual,Manual,Second Owner,Maruti Alto,16
1010,300000,90000,Diesel,Individual,Manual,First Owner,Hyundai i20,10
1011,140000,60000,Diesel,Individual,Manual,Second Owner,Tata Indigo,12
1017,550000,35000,Petrol,Individual,Manual,First Owner,Ford Figo,5
1018,650000,71042,Diesel,Dealer,Manual,First Owner,Mahindra XUV500,11
1020,195000,133564,Diesel,Dealer,Manual,First Owner,Ford Fiesta,12
1024,1140000,23038,Petrol,Trustmark Dealer,Automatic,First Owner,Honda City,5
1025,95000,70000,Diesel,Individual,Manual,First Owner,Chevrolet Beat,12
1034,585000,43608,Petrol,Trustmark Dealer,Manual,First Owner,Maruti Baleno,6
1035,825000,11212,Petrol,Trustmark Dealer,Automatic,First Owner,Maruti Baleno,5
1036,280000,52000,Diesel,Dealer,Manual,First Owner,Hyundai i20,10
1037,725000,49217,Petrol,Trustmark Dealer,Manual,First Owner,Maruti Baleno,7
1038,300000,90000,Diesel,Individual,Manual,First Owner,Mahindra Verito,8
1039,375000,70000,Petrol,Individual,Manual,First Owner,Hyundai Xcent,8
1040,310000,90000,Petrol,Individual,Manual,Fourth & Above Owner,Honda City,20
1043,400000,80000,Diesel,Individual,Manual,Second Owner,others,11
1044,550000,80000,Diesel,Individual,Manual,Second Owner,Nissan Terrano,9
1045,270000,20000,Petrol,Individual,Manual,First Owner,Maruti Eeco,5
1046,555000,110000,Diesel,Individual,Manual,Second Owner,Maruti Ertiga,11
1047,500000,60000,Diesel,Individual,Manual,Second Owner,Ford Ecosport,10
1048,400000,130000,Diesel,Individual,Automatic,Second Owner,Skoda Laura,13
1049,280000,28838,Petrol,Individual,Manual,First Owner,Hyundai EON,6
1051,55000,100000,Diesel,Individual,Manual,First Owner,Tata Indica,17
1052,250000,50000,Petrol,Individual,Manual,First Owner,Maruti Alto,9
1054,95000,100000,Diesel,Individual,Manual,Second Owner,others,16
1055,725000,135000,Diesel,Individual,Manual,Second Owner,Mahindra Scorpio,9
1056,320000,50000,Diesel,Individual,Manual,Third Owner,Mahindra Bolero,8
1057,1200000,135000,Diesel,Individual,Automatic,Third Owner,others,9
1058,160000,50000,Diesel,Individual,Manual,First Owner,Chevrolet Beat,11
1059,790000,19571,Diesel,Dealer,Manual,First Owner,Honda Jazz,5
1060,1200000,29600,Petrol,Dealer,Manual,First Owner,Honda City,5
1061,175000,70000,Petrol,Individual,Manual,First Owner,Maruti Swift,12
1062,950000,15000,Diesel,Individual,Automatic,First Owner,Maruti Vitara,5
1063,340000,50000,Petrol,Individual,Manual,First Owner,Maruti Celerio,4
1064,825000,13500,Diesel,Individual,Manual,First Owner,others,6
1066,780000,25000,Diesel,Dealer,Manual,First Owner,Honda Amaze,5
1067,350000,80000,Petrol,Individual,Automatic,Third Owner,Toyota Corolla,13
1068,690000,39000,Petrol,Dealer,Manual,First Owner,Honda Amaze,5
1069,245000,60000,Petrol,Individual,Manual,First Owner,Maruti Alto,7
1070,790000,49000,Diesel,Dealer,Manual,First Owner,Honda Amaze,5
1071,680000,48600,Petrol,Dealer,Manual,First Owner,Honda Amaze,5
1072,540000,20000,Petrol,Individual,Manual,Second Owner,Hyundai Grand,6
1073,425000,25000,Petrol,Individual,Manual,First Owner,Mahindra KUV,7
1074,140000,120000,Petrol,Individual,Manual,First Owner,Maruti Zen,15
1075,1100000,30000,Diesel,Individual,Manual,First Owner,Maruti Ertiga,4
1076,715000,35000,Diesel,Individual,Manual,First Owner,others,8
1079,400000,54000,Petrol,Dealer,Manual,Second Owner,Tata Zest,5
1082,114999,90000,Petrol,Dealer,Manual,Second Owner,Hyundai Santro,18
1083,950000,21394,Diesel,Dealer,Manual,First Owner,Ford EcoSport,5
1084,310000,32686,Petrol,Dealer,Manual,First Owner,Datsun GO,8
1085,575000,1001,Diesel,Dealer,Manual,First Owner,others,17
1086,490000,22000,Diesel,Dealer,Manual,First Owner,others,6
1087,480000,53261,Petrol,Dealer,Manual,First Owner,Hyundai Grand,6
1089,370000,10000,Petrol,Dealer,Manual,First Owner,Renault KWID,5
1090,835000,14000,Diesel,Dealer,Manual,First Owner,Maruti Baleno,6
1091,650000,44000,Petrol,Dealer,Manual,First Owner,Volkswagen Polo,6
1092,670000,39895,Diesel,Dealer,Manual,First Owner,Toyota Etios,9
1093,950000,73000,Diesel,Dealer,Automatic,First Owner,Chevrolet Cruze,6
1094,690000,17000,Petrol,Dealer,Manual,First Owner,Honda City,9
1095,670000,18591,Petrol,Dealer,Manual,First Owner,Volkswagen Polo,6
1096,925000,26766,Diesel,Dealer,Manual,First Owner,others,6
1097,250000,30000,Petrol,Individual,Manual,First Owner,Hyundai EON,8
1098,509999,42000,Diesel,Individual,Manual,First Owner,Tata Sumo,7
1099,520000,110000,Diesel,Individual,Manual,First Owner,Honda City,9
1100,100000,100000,Diesel,Individual,Manual,First Owner,Tata Indica,18
1102,130000,110000,Diesel,Individual,Manual,Third Owner,Tata Indigo,14
1103,950000,27620,Diesel,Dealer,Manual,First Owner,Ford EcoSport,5
1104,450000,70000,Petrol,Individual,Manual,First Owner,Ford Figo,8
1105,320000,50000,Petrol,Individual,Manual,Second Owner,Honda City,11
1106,480000,50000,Diesel,Individual,Manual,First Owner,Maruti Swift,8
1108,790000,82000,Diesel,Individual,Manual,First Owner,Toyota Innova,11
1109,120000,120000,Petrol,Individual,Manual,First Owner,Maruti Omni,7
1110,75000,80000,Petrol,Individual,Manual,Third Owner,Maruti Alto,17
1111,99000,70000,Petrol,Individual,Manual,First Owner,Tata Indica,13
1112,1015000,20000,Diesel,Individual,Manual,First Owner,others,5
1114,520000,120000,Diesel,Individual,Manual,First Owner,Toyota Innova,12
1115,1100000,30000,Diesel,Individual,Automatic,First Owner,Hyundai Verna,5
1117,525000,60000,Diesel,Individual,Manual,First Owner,Maruti Swift,7
1118,500000,40000,Petrol,Individual,Manual,First Owner,Hyundai i20,7
1119,675000,161327,Diesel,Individual,Manual,First Owner,Mahindra Scorpio,7
1120,150000,60000,Petrol,Individual,Manual,Third Owner,Hyundai i10,14
1121,250000,50000,Diesel,Individual,Manual,First Owner,Mahindra Bolero,16
1122,450000,6000,Petrol,Individual,Manual,First Owner,Hyundai Grand,5
1123,150000,68000,Petrol,Individual,Manual,Second Owner,Hyundai Santro,14
1124,200000,85000,Diesel,Individual,Manual,First Owner,Chevrolet Beat,11
1125,525000,70000,Diesel,Individual,Automatic,First Owner,Mahindra Scorpio,12
1127,180000,100000,Diesel,Individual,Manual,Second Owner,Maruti Swift,13
1128,475000,110000,Diesel,Individual,Manual,First Owner,Honda Amaze,8
1130,285000,46000,Petrol,Individual,Manual,Second Owner,Maruti Alto,8
1131,91200,60000,Petrol,Individual,Manual,Second Owner,Maruti Alto,15
1133,400000,42000,Diesel,Individual,Manual,First Owner,Hyundai Grand,8
1134,160000,90000,Petrol,Individual,Automatic,Second Owner,Hyundai Santro,17
1135,650000,85000,Diesel,Individual,Manual,Second Owner,others,11
1136,409999,120000,Diesel,Individual,Manual,Third Owner,Hyundai Verna,11
1137,425000,72000,Diesel,Individual,Manual,First Owner,Ford Ecosport,10
1138,250000,71000,CNG,Individual,Manual,Second Owner,Maruti Wagon,10
1139,200000,110000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti Swift,14
1141,130000,144000,Diesel,Individual,Manual,Fourth & Above Owner,Volkswagen Polo,13
1142,260000,30000,Petrol,Dealer,Manual,First Owner,Maruti Eeco,6
1143,155000,65000,Petrol,Dealer,Manual,First Owner,Hyundai Verna,16
1144,450000,38000,Diesel,Individual,Manual,First Owner,Honda Jazz,8
1145,220000,90000,Petrol,Individual,Manual,Second Owner,Maruti SX4,11
1146,650000,37000,Diesel,Dealer,Manual,First Owner,Hyundai i20,5
1147,285000,30000,Petrol,Dealer,Manual,First Owner,Maruti Alto,5
1148,725000,26000,Petrol,Dealer,Automatic,First Owner,Honda Amaze,5
1149,625000,30000,Petrol,Dealer,Manual,First Owner,Maruti Ciaz,7
1150,550000,23000,Petrol,Dealer,Manual,First Owner,Hyundai i20,7
1151,240000,40000,Petrol,Dealer,Manual,First Owner,Hyundai i10,11
1152,600000,27000,Diesel,Dealer,Manual,First Owner,Nissan Terrano,9
1153,350000,65000,Diesel,Dealer,Manual,First Owner,Tata New,11
1154,245000,32000,Petrol,Dealer,Manual,First Owner,Hyundai EON,8
1155,600000,56000,Diesel,Dealer,Manual,First Owner,Mahindra Bolero,7
1157,620000,80000,Diesel,Dealer,Manual,First Owner,Mahindra Scorpio,9
1158,395000,52000,Petrol,Dealer,Manual,Second Owner,Maruti Swift,9
1159,635000,13250,Petrol,Dealer,Manual,First Owner,Maruti Ertiga,9
1160,180000,36000,Petrol,Dealer,Manual,First Owner,Maruti Alto,12
1161,484999,73000,Diesel,Dealer,Manual,Second Owner,Maruti Swift,8
1162,110000,60000,Petrol,Individual,Manual,First Owner,Maruti Alto,19
1163,150000,60000,Petrol,Individual,Manual,Second Owner,Maruti Wagon,17
1164,400000,110000,Diesel,Individual,Manual,First Owner,Chevrolet Tavera,11
1165,200000,70000,Diesel,Individual,Manual,Second Owner,Tata Indica,11
1166,302000,60000,Diesel,Individual,Manual,Second Owner,Renault Duster,10
1167,215000,90000,Diesel,Individual,Manual,Fourth & Above Owner,Maruti Swift,12
1168,155000,80000,Petrol,Individual,Manual,Second Owner,Maruti Wagon,19
1169,1000000,101000,Diesel,Individual,Manual,Second Owner,Toyota Innova,9
1170,550000,44000,Diesel,Individual,Manual,First Owner,Mahindra Bolero,5
1171,200000,45000,Petrol,Individual,Manual,First Owner,Maruti Swift,17
1172,750000,120000,Diesel,Individual,Manual,First Owner,Mahindra Scorpio,6
1173,90000,90000,Petrol,Individual,Manual,Second Owner,Maruti Zen,18
1174,80000,120000,Petrol,Individual,Manual,Second Owner,Maruti Wagon,16
1175,229999,13500,Petrol,Individual,Manual,First Owner,Hyundai EON,10
1176,350000,10000,Petrol,Individual,Manual,First Owner,Renault KWID,6
1177,325000,25000,Petrol,Individual,Manual,Third Owner,Hyundai Grand,8
1178,450000,8500,Petrol,Individual,Manual,First Owner,others,5
1179,250000,120000,Diesel,Individual,Manual,First Owner,Maruti SX4,11
1180,225000,120000,Diesel,Individual,Manual,First Owner,Volkswagen Polo,11
1181,150000,90246,Petrol,Individual,Manual,Third Owner,Maruti Alto,14
1182,110000,90000,Petrol,Individual,Manual,Second Owner,Maruti Alto,15
1183,150000,40000,Petrol,Individual,Manual,Second Owner,Maruti Alto,13
1185,610000,32000,Diesel,Individual,Manual,Second Owner,Renault Duster,6
1186,170000,60400,Diesel,Individual,Manual,First Owner,Tata Manza,10
1187,150000,70950,Diesel,Individual,Manual,Second Owner,Hyundai Verna,15
1189,375000,72000,Diesel,Individual,Manual,First Owner,Hyundai Xcent,8
1190,390000,90000,Diesel,Individual,Manual,First Owner,Maruti Swift,10
1191,600000,10000,Petrol,Individual,Manual,First Owner,Hyundai i20,6
1192,204999,25000,Petrol,Individual,Manual,Second Owner,Maruti Alto,9
1193,270000,80000,Diesel,Individual,Manual,Second Owner,Hyundai Verna,14
1194,375000,10000,Petrol,Individual,Manual,First Owner,Hyundai Grand,6
1195,700000,1100,Petrol,Individual,Manual,First Owner,Maruti Baleno,3
1196,455000,40000,Petrol,Individual,Manual,First Owner,Maruti Swift,6
1197,375000,10000,Petrol,Individual,Manual,First Owner,Hyundai i10,6
1198,341000,31491,Petrol,Individual,Manual,First Owner,Hyundai Grand,9
1199,200000,107143,Diesel,Individual,Manual,Second Owner,Maruti Swift,9
1200,450000,15000,Petrol,Individual,Automatic,First Owner,others,6
1201,170000,50000,Petrol,Individual,Manual,Second Owner,Hyundai Santro,11
1203,500000,60000,Diesel,Individual,Manual,First Owner,Mahindra Bolero,7
1204,819999,85000,Diesel,Individual,Manual,First Owner,Maruti Vitara,7
1205,351000,40000,Petrol,Individual,Manual,Second Owner,Maruti Swift,9
1206,195000,80000,Petrol,Individual,Manual,Second Owner,Hyundai i10,12
1207,250000,82000,Diesel,Individual,Manual,Second Owner,Maruti Swift,15
1208,120000,70000,Petrol,Individual,Manual,Second Owner,Maruti Zen,15
1209,180000,70000,Petrol,Individual,Manual,Third Owner,Maruti A-Star,14
1210,430000,20000,Diesel,Individual,Manual,First Owner,Mahindra KUV,7
1211,75000,35000,Petrol,Individual,Manual,Second Owner,Tata Nano,11
1212,750000,80000,Diesel,Individual,Manual,First Owner,Mahindra Xylo,6
1213,60000,40000,Petrol,Individual,Manual,First Owner,Tata Nano,12
1215,390000,150000,Diesel,Individual,Manual,Fourth & Above Owner,Mahindra Bolero,12
1216,630000,50000,Diesel,Individual,Manual,First Owner,Mahindra TUV,7
1217,1085000,15000,Diesel,Individual,Manual,First Owner,Tata Safari,5
1218,190000,60000,Petrol,Individual,Manual,Second Owner,Hyundai i10,11
1219,550000,25000,Petrol,Individual,Automatic,First Owner,Maruti Baleno,5
1220,200000,90000,Petrol,Individual,Manual,Third Owner,Maruti Alto,11
1221,165000,60000,Petrol,Individual,Manual,First Owner,Chevrolet Spark,12
1222,260000,65000,Diesel,Individual,Manual,First Owner,Ford Figo,10
1223,151000,40000,Petrol,Individual,Manual,First Owner,Maruti Alto,12
1224,780000,50000,Diesel,Individual,Manual,First Owner,Maruti Vitara,5
1225,175000,80000,Diesel,Individual,Manual,Third Owner,Tata Indica,11
1226,170000,107500,Diesel,Dealer,Manual,First Owner,Tata Indica,13
1227,210000,135000,Diesel,Dealer,Manual,Second Owner,Tata Indica,10
1228,90000,43826,Petrol,Dealer,Manual,Second Owner,Maruti Alto,16
1229,535000,55838,Petrol,Dealer,Manual,First Owner,Hyundai i20,7
1230,195000,112880,Diesel,Dealer,Manual,First Owner,Maruti Swift,16
1231,140000,90000,Diesel,Individual,Manual,Third Owner,Tata Indica,12
1232,350000,40000,Petrol,Individual,Manual,First Owner,Nissan Sunny,11
1233,425000,66000,Petrol,Individual,Manual,First Owner,Hyundai Verna,10
1234,300000,30300,Petrol,Individual,Manual,First Owner,Renault KWID,6
1235,340000,85000,Diesel,Individual,Manual,Second Owner,Volkswagen Vento,10
1236,250000,80659,Petrol,Dealer,Manual,First Owner,Maruti Swift,14
1237,170000,81324,Petrol,Dealer,Manual,First Owner,Chevrolet Aveo,15
1238,315000,127884,Diesel,Dealer,Manual,First Owner,Honda Amaze,10
1239,200000,50000,Petrol,Individual,Manual,First Owner,Chevrolet Beat,8
1240,300000,25000,Petrol,Individual,Manual,First Owner,Chevrolet Beat,7
1241,300000,66755,Diesel,Dealer,Manual,First Owner,Honda Amaze,8
1242,380000,123084,Petrol,Dealer,Manual,First Owner,Honda City,10
1244,310000,95851,Diesel,Dealer,Manual,First Owner,Honda Amaze,10
1245,260000,50000,Petrol,Individual,Manual,First Owner,Maruti Wagon,13
1246,150000,50000,Petrol,Individual,Manual,Second Owner,Maruti Omni,15
1247,85000,60000,Petrol,Individual,Manual,Second Owner,Maruti Esteem,17
1248,280000,15000,Petrol,Individual,Manual,Second Owner,Maruti Alto,8
1249,850000,40000,Diesel,Individual,Manual,First Owner,Mahindra Xylo,7
1250,375000,20000,Petrol,Individual,Manual,Second Owner,Datsun GO,6
1251,125000,120000,Diesel,Individual,Manual,Third Owner,others,17
1252,250000,110000,Diesel,Individual,Manual,First Owner,Chevrolet Beat,11
1254,220000,70000,Diesel,Individual,Manual,First Owner,Hyundai i20,12
1255,110000,110000,Diesel,Individual,Manual,Second Owner,Tata Indica,13
1256,150000,84000,Petrol,Individual,Manual,Second Owner,Hyundai Verna,16
1258,220000,40000,Petrol,Individual,Manual,First Owner,Datsun RediGO,6
1259,75000,96000,Petrol,Individual,Manual,Second Owner,Maruti Wagon,17
1260,100000,20000,Diesel,Individual,Manual,First Owner,Tata Indigo,14
1261,380000,15000,Petrol,Individual,Manual,First Owner,Ford Figo,7
1262,100000,50000,Petrol,Individual,Manual,First Owner,Hyundai Santro,16
1263,480000,80000,Petrol,Individual,Manual,Second Owner,others,13
1264,300000,124000,Diesel,Individual,Manual,First Owner,Toyota Etios,11
1265,190000,70000,Diesel,Individual,Manual,First Owner,Chevrolet Beat,10
1266,190000,130000,Diesel,Individual,Manual,Second Owner,Ford Figo,11
1267,650000,19014,Petrol,Dealer,Manual,First Owner,Ford EcoSport,6
1268,300000,23262,Petrol,Dealer,Manual,First Owner,Toyota Corolla,14
1269,700000,29600,Diesel,Dealer,Manual,First Owner,others,7
1270,310000,35925,Petrol,Dealer,Manual,First Owner,Hyundai i10,8
1271,500000,12000,Petrol,Individual,Manual,First Owner,others,5
1272,415000,40771,Petrol,Dealer,Manual,First Owner,Toyota Etios,10
1273,395000,30500,Petrol,Dealer,Automatic,Second Owner,Maruti Celerio,8
1274,430000,42000,Petrol,Dealer,Manual,Second Owner,Toyota Etios,9
1275,215000,55800,Petrol,Dealer,Manual,Second Owner,Toyota Corolla,16
1276,550000,66569,Diesel,Dealer,Manual,First Owner,Renault Duster,9
1277,415000,81358,Diesel,Dealer,Manual,First Owner,Volkswagen Polo,9
1278,450000,82695,Diesel,Dealer,Manual,First Owner,Volkswagen Polo,8
1279,285000,68293,Diesel,Dealer,Manual,Second Owner,Ford Figo,9
1280,580000,32000,Petrol,Dealer,Automatic,First Owner,Honda Jazz,7
1282,1200000,60000,Diesel,Individual,Manual,First Owner,Hyundai Verna,5
1283,78000,64700,Petrol,Individual,Manual,First Owner,Maruti 800,17
1285,400000,88470,Diesel,Individual,Manual,First Owner,Tata Zest,7
1286,850000,75000,Diesel,Individual,Manual,First Owner,Hyundai Verna,7
1287,450000,120000,Diesel,Individual,Manual,Second Owner,Volkswagen Vento,10
1289,780000,70000,Diesel,Individual,Manual,First Owner,Toyota Etios,6
1291,350000,1000,Petrol,Individual,Manual,First Owner,Maruti Alto,3
1292,285000,120000,Diesel,Individual,Manual,Second Owner,Mahindra Quanto,10
1293,525000,98000,Diesel,Dealer,Manual,First Owner,Volkswagen Vento,8
1294,550000,90000,Diesel,Dealer,Manual,Second Owner,Maruti Ciaz,9
1295,580000,70000,Diesel,Individual,Manual,First Owner,others,5
1296,75000,25000,Petrol,Individual,Manual,Third Owner,Tata Nano,10
1297,185000,60000,Diesel,Individual,Manual,Third Owner,Tata Manza,14
1298,110000,90000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti Omni,16
1300,350000,110000,Diesel,Individual,Manual,Second Owner,Volkswagen Polo,13
1301,60000,126000,Petrol,Individual,Manual,Second Owner,others,18
1302,695000,70000,Diesel,Individual,Manual,First Owner,Mahindra TUV,5
1304,135000,74183,Petrol,Individual,Manual,Second Owner,Maruti Zen,16
1305,640000,70000,Diesel,Individual,Manual,Second Owner,Mahindra Bolero,8
1306,160000,90000,Petrol,Individual,Manual,First Owner,Maruti Alto,9
1307,80000,46000,Petrol,Individual,Manual,Second Owner,Tata Indica,19
1308,340000,110000,Diesel,Individual,Manual,Second Owner,Maruti Swift,10
1309,110000,80000,Diesel,Individual,Manual,Second Owner,Maruti Ritz,11
1310,250000,90000,Diesel,Individual,Manual,Second Owner,Tata Sumo,10
1312,250000,1,Diesel,Individual,Manual,Second Owner,Mahindra Quanto,9
1314,240000,70000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti Wagon,10
